GeneSet,Analysis,Contrast,Direction_Interpretation,Fry_Test,Camera_Test,Primary_Inference,Fry_NGenes,Fry_Direction,Fry_PValue,Fry_FDR,Fry_PValue.Mixed,Fry_FDR.Mixed,Camera_NGenes,Camera_Direction,Camera_PValue,Camera_FDR
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION","Figure 4F TNBC cell-line immune/stress pathways","Dys-CIM - Fun-CIM","Up = Dys-CIM; Down = Fun-CIM","fry with cell-line block; consensus correlation = 0.445","cameraPR using moderated t-statistics from blocked limma model; consensus correlation = 0.445","Nominal PValue; FDR retained for transparency",117,"Down",0.182958087517368,0.445323564884411,7.89152934802075e-08,2.54712516847411e-07,117,"Down",0.966933579289049,0.966933579289049
"GOBP_CELLULAR_RESPONSE_TO_STRESS","Figure 4F TNBC cell-line immune/stress pathways","Dys-CIM - Fun-CIM","Up = Dys-CIM; Down = Fun-CIM","fry with cell-line block; consensus correlation = 0.445","cameraPR using moderated t-statistics from blocked limma model; consensus correlation = 0.445","Nominal PValue; FDR retained for transparency",1926,"Down",0.920727020878156,0.920727020878156,9.79663526336195e-08,2.54712516847411e-07,1926,"Up",0.00844395382175272,0.0274428499206963
"GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE","Figure 4F TNBC cell-line immune/stress pathways","Dys-CIM - Fun-CIM","Up = Dys-CIM; Down = Fun-CIM","fry with cell-line block; consensus correlation = 0.445","cameraPR using moderated t-statistics from blocked limma model; consensus correlation = 0.445","Nominal PValue; FDR retained for transparency",89,"Down",0.471507906934077,0.766200348767875,7.19280770807676e-06,1.03896111338887e-05,89,"Up",0.178329974064335,0.257587740315151
"GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY","Figure 4F TNBC cell-line immune/stress pathways","Dys-CIM - Fun-CIM","Up = Dys-CIM; Down = Fun-CIM","fry with cell-line block; consensus correlation = 0.445","cameraPR using moderated t-statistics from blocked limma model; consensus correlation = 0.445","Nominal PValue; FDR retained for transparency",60,"Down",0.14159064205253,0.445323564884411,5.71866893410729e-05,6.7584269221268e-05,60,"Down",0.667528773580974,0.788897641504788
"GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","Figure 4F TNBC cell-line immune/stress pathways","Dys-CIM - Fun-CIM","Up = Dys-CIM; Down = Fun-CIM","fry with cell-line block; consensus correlation = 0.445","cameraPR using moderated t-statistics from blocked limma model; consensus correlation = 0.445","Nominal PValue; FDR retained for transparency",23,"Down",0.205533953023574,0.445323564884411,0.0089921363948275,0.00974148109439646,23,"Down",0.88495115489912,0.958697084474046
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","Figure 4F TNBC cell-line immune/stress pathways","Dys-CIM - Fun-CIM","Up = Dys-CIM; Down = Fun-CIM","fry with cell-line block; consensus correlation = 0.445","cameraPR using moderated t-statistics from blocked limma model; consensus correlation = 0.445","Nominal PValue; FDR retained for transparency",334,"Down",0.852071551537089,0.920727020878156,3.99781827129874e-09,2.59858187634418e-08,334,"Up",0.0328007156422826,0.0710682172249456
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","Figure 4F TNBC cell-line immune/stress pathways","Dys-CIM - Fun-CIM","Up = Dys-CIM; Down = Fun-CIM","fry with cell-line block; consensus correlation = 0.445","cameraPR using moderated t-statistics from blocked limma model; consensus correlation = 0.445","Nominal PValue; FDR retained for transparency",67,"Down",0.774469262625979,0.920727020878156,5.59668763086519e-06,9.09461740015594e-06,67,"Up",0.151185886839859,0.245677066114771
"HALLMARK_INFLAMMATORY_RESPONSE","Figure 4F TNBC cell-line immune/stress pathways","Dys-CIM - Fun-CIM","Up = Dys-CIM; Down = Fun-CIM","fry with cell-line block; consensus correlation = 0.445","cameraPR using moderated t-statistics from blocked limma model; consensus correlation = 0.445","Nominal PValue; FDR retained for transparency",200,"Up",0.902925312316157,0.920727020878156,4.82529797616602e-07,8.96126767002261e-07,200,"Up",0.00735798902204199,0.0274428499206963
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","Figure 4F TNBC cell-line immune/stress pathways","Dys-CIM - Fun-CIM","Up = Dys-CIM; Down = Fun-CIM","fry with cell-line block; consensus correlation = 0.445","cameraPR using moderated t-statistics from blocked limma model; consensus correlation = 0.445","Nominal PValue; FDR retained for transparency",113,"Up",0.0771216966239895,0.334194018703954,2.47147519986326e-07,5.35486293303705e-07,113,"Up",9.56586677531193e-08,1.24356268079055e-06
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS","Figure 4F TNBC cell-line immune/stress pathways","Dys-CIM - Fun-CIM","Up = Dys-CIM; Down = Fun-CIM","fry with cell-line block; consensus correlation = 0.445","cameraPR using moderated t-statistics from blocked limma model; consensus correlation = 0.445","Nominal PValue; FDR retained for transparency",197,"Down",0.33735373415236,0.626514077711526,2.48681771982021e-05,3.23286303576628e-05,197,"Up",0.642426069183087,0.788897641504788
"REACTOME_CELLULAR_RESPONSE_TO_MITOCHONDRIAL_STRESS","Figure 4F TNBC cell-line immune/stress pathways","Dys-CIM - Fun-CIM","Up = Dys-CIM; Down = Fun-CIM","fry with cell-line block; consensus correlation = 0.445","cameraPR using moderated t-statistics from blocked limma model; consensus correlation = 0.445","Nominal PValue; FDR retained for transparency",9,"Up",0.0186172130756136,0.121011884991489,0.110717538656054,0.110717538656054,9,"Up",0.00632702710205281,0.0274428499206963
"WP_MOLECULAR_PATHWAY_FOR_OXIDATIVE_STRESS","Figure 4F TNBC cell-line immune/stress pathways","Dys-CIM - Fun-CIM","Up = Dys-CIM; Down = Fun-CIM","fry with cell-line block; consensus correlation = 0.445","cameraPR using moderated t-statistics from blocked limma model; consensus correlation = 0.445","Nominal PValue; FDR retained for transparency",48,"Up",0.769289318885828,0.920727020878156,1.25246918609383e-08,5.42736647307327e-08,48,"Up",0.0224228363799937,0.0582993745879835
"WP_OXIDATIVE_STRESS_RESPONSE","Figure 4F TNBC cell-line immune/stress pathways","Dys-CIM - Fun-CIM","Up = Dys-CIM; Down = Fun-CIM","fry with cell-line block; consensus correlation = 0.445","cameraPR using moderated t-statistics from blocked limma model; consensus correlation = 0.445","Nominal PValue; FDR retained for transparency",33,"Down",0.0108848547086725,0.121011884991489,3.75358554564462e-13,4.87966120933801e-12,33,"Down",0.0795984370358836,0.147825668780927
